alg_id,title,task,objective,n_steps,n_parameters,implements,source_sha256,txt,docx,generated_utc
ALG-01,Dataset loading and master metadata construction,T98.1,"O1, O6",12,3,src/data_loader/physionet.py:1293; src/data_loader/pascal.py:843; src/data_loader/circor.py:1235; src/data_loader/catalog.py:121; src/data_loader/integrity.py:372; src/data_loader/duplicates.py:247; src/data_loader/duplicates.py:101; src/data_loader/master.py:271; src/data_loader/master.py:494; src/data_loader/master.py:605,96a0c1c42978c397c8f39f5bd465dbb54dca58a067520d2ad12f1a89495b8178,ALG-01_dataset_loading_and_master_metadata_construction.txt,ALG-01_dataset_loading_and_master_metadata_construction.docx,2026-09-11T18:56:56.760566+00:00
ALG-02,Signal harmonization and resampling,T98.1,O4,6,5,src/preprocessing/io.py:123; src/preprocessing/io.py:148; src/preprocessing/io.py:181; src/preprocessing/quality.py:239; src/preprocessing/pipeline.py:236,c98db456aacc00ca0ceaba4fbc56f8b5c3b08b8610a9effb2ed90eb40175818a,ALG-02_signal_harmonization_and_resampling.txt,ALG-02_signal_harmonization_and_resampling.docx,2026-09-11T18:56:56.899447+00:00
ALG-03,Butterworth filtering and z-score normalization,T98.2,O4,12,11,src/preprocessing/filters.py:133; src/preprocessing/filters.py:167; src/preprocessing/filters.py:148; src/preprocessing/normalize.py:183; src/preprocessing/normalize.py:127; src/preprocessing/normalize.py:145,0a71189f7159e63e638b0257fc8d19f1c9edf31e5ab693eb0e5cf5b88e16d04b,ALG-03_butterworth_filtering_and_z_score_normalization.txt,ALG-03_butterworth_filtering_and_z_score_normalization.docx,2026-09-11T18:56:59.235253+00:00
ALG-04,Multi-domain 138-feature extraction,T98.2,O4,8,6,src/feature_extraction/extractor.py:142; src/feature_extraction/extractor.py:183; src/feature_extraction/registry.py:570; src/feature_extraction/extractor.py:118,8ff5ef6220bf26e96a2d84e28ead25f7f4f5c21c15e6d1afdb3408a87dd646d7,ALG-04_multi_domain_138_feature_extraction.txt,ALG-04_multi_domain_138_feature_extraction.docx,2026-09-11T18:56:59.360728+00:00
ALG-05,Fold-safe scaling and preprocessing,T98.3,O1,8,7,src/data_loader/splits.py:256; src/data_loader/splits.py:285; src/models/pipeline.py:262; src/models/pipeline.py:229; src/models/pipeline.py:324,9d6ccc99f014b669b1ad8e9b9b04fc367ea44211734942a9dcb6aa7390c581fc,ALG-05_fold_safe_scaling_and_preprocessing.txt,ALG-05_fold_safe_scaling_and_preprocessing.docx,2026-09-11T18:56:59.495227+00:00
ALG-06,Search based feature selection,T98.3,O5,12,10,src/feature_selection/sweep.py:220; src/optimization/base.py:256; src/feature_selection/ranking.py:137; src/feature_selection/sweep.py:130; src/optimization/multi_objective.py:290; src/feature_selection/sweep.py:410; src/feature_selection/sweep.py:487; src/feature_selection/sweep.py:512; src/feature_selection/sweep.py:542,b729f2196f33805062b51d6c1ef5f5dd94dc58d8458b47225bb09f15302fcf21,ALG-06_search_based_feature_selection.txt,ALG-06_search_based_feature_selection.docx,2026-09-11T18:56:59.870614+00:00
ALG-07,Hyperparameter optimization,T98.4,O5,12,8,src/evaluation/tuned.py:461; src/optimization/base.py:256; src/evaluation/tuned.py:326; src/optimization/bayesian.py:238; src/optimization/base.py:699; src/optimization/base.py:555; src/optimization/bayesian.py:274; src/optimization/base.py:452; src/optimization/base.py:355,b32af099d4a94746ab674ef7122bf17cadf76151cb247ae25ca082b9357ea54d,ALG-07_hyperparameter_optimization.txt,ALG-07_hyperparameter_optimization.docx,2026-09-11T18:57:00.027505+00:00
ALG-08,SVM training and probability calibration,T98.4,O3,9,11,src/models/estimators.py:202; src/models/calibration.py:188; src/models/calibration.py:99; src/models/calibration.py:248; src/models/calibration.py:236,0b15c9dbcd66e1471459aac01f277dbb158e801158b8b3b4fe9de6a18e0e8f54,ALG-08_svm_training_and_probability_calibration.txt,ALG-08_svm_training_and_probability_calibration.docx,2026-09-11T18:57:01.375009+00:00
ALG-09,Random Forest training,T98.5,O3,6,10,src/models/estimators.py:268; src/models/pipeline.py:229; src/feature_selection/ranking.py:104; src/models/estimators.py:540,46af3e064663659f999e25ea1c9083745c5cd7a3255a4bb28550b24cabd2b061,ALG-09_random_forest_training.txt,ALG-09_random_forest_training.docx,2026-09-11T18:57:01.507033+00:00
ALG-10,Gradient Boosting training,T98.5,O3,9,11,src/models/estimators.py:299; src/models/weighting.py:135; src/models/weighting.py:69; src/models/weighting.py:169; src/models/estimators.py:540,7d4cbebcd03a804b4fb8978fc1a0145d48de598ac1d920fa684f12c857db16c5,ALG-10_gradient_boosting_training.txt,ALG-10_gradient_boosting_training.docx,2026-09-11T18:57:01.656781+00:00
ALG-11,Equal-weight soft voting,T99.1,O3,14,13,src/ensemble/soft_voting.py:911; src/models/estimators.py:540; src/ensemble/soft_voting.py:537; src/ensemble/soft_voting.py:661; src/ensemble/soft_voting.py:689; src/ensemble/soft_voting.py:883; src/ensemble/soft_voting.py:84; src/ensemble/soft_voting.py:308; src/ensemble/soft_voting.py:841; src/ensemble/soft_voting.py:844,416052834296b9d0790d2771fc136be04697a26e164a5958233483e0bc6209bb,ALG-11_equal_weight_soft_voting.txt,ALG-11_equal_weight_soft_voting.docx,2026-09-11T18:57:01.817337+00:00
ALG-12,Optimized-weight soft voting,T99.1,"O3, O5",12,14,src/ensemble/soft_voting.py:689; src/ensemble/soft_voting.py:117; src/ensemble/soft_voting.py:149; src/ensemble/soft_voting.py:723; src/ensemble/soft_voting.py:239; src/ensemble/soft_voting.py:405; src/ensemble/soft_voting.py:801; src/ensemble/soft_voting.py:537; src/ensemble/soft_voting.py:844,941f2d93bbfa2f432a94c6652d68f8f25c5ec6fcdffe4d4336ee53e883781054,ALG-12_optimized_weight_soft_voting.txt,ALG-12_optimized_weight_soft_voting.docx,2026-09-11T18:57:01.956578+00:00
