screenshot_id,number,title,route,filename,bytes,caption
SS-01,1,Home and project overview,/,SS-01_home.png,219702,"The PV-MEPCG / PulseVision dashboard home page: the framework in one line, the six locked research objectives, the pipeline from recording to screening indication, and the scope-and-safety notice that appears on every route."
SS-02,2,Dataset inventory and class distribution,/dataset/,SS-02_dataset.png,179387,"The four public PCG corpora as audited against the files on disk (T01): per-dataset inventory, class balance and the duration profile. Every count is read from outputs/01_dataset_audit/, never from the source documents, which disagree with the files in two places."
SS-03,3,Signal upload and waveform,/predict/binary/,SS-03_predict_binary.png,86044,Choosing a recording on the binary screening page. A built-in dataset sample has been selected and its waveform drawn from audio served by the local inference service; no corpus audio is committed to the repository. The model has not been run yet -- this is the upload and preview step alone.
SS-04,4,Preprocessing before/after,/preprocessing/,SS-04_preprocessing.png,144091,"The preprocessing chain (T02): resampling, band-pass filtering, normalization and signal-quality assessment, with the same recording before and after each stage and the spectral effect of the filter."
SS-05,5,Feature extraction summary,/features/,SS-05_features.png,189595,"The locked 138-feature registry across six families (T03), the fold-safe subset selected inside the training folds, and the family each selected feature belongs to. The column order is a literal in the registry and is fingerprinted, not derived."
SS-06,6,Model comparison dashboard,/models/,SS-06_models.png,126836,"The declared models and their fold-wise comparison (T04, T08). Sensitivity, specificity, F1, balanced accuracy and AUC are reported together; accuracy alone never decides anything here."
SS-07,7,Search optimization dashboard,/optimization/,SS-07_optimization.png,226235,"The search space, the methods compared at equal budget, the selected parameters and what the search actually bought (T05-T07). Every search shown ran inside a training fold."
SS-08,8,Binary prediction output,/predict/binary/,SS-08_predict_binary.png,95883,"A live binary screening indication for one PhysioNet 2016 recording, produced by POST /predict against the deployed model. The panel shows the class probabilities, the confidence margin, the operating threshold and the corpus label, and states that the recording's stored out-of-fold probability is five numbers rather than one."
SS-09,9,Multiclass prediction output,/predict/multiclass/,SS-09_predict_multiclass.png,80589,"A live PASCAL A four-class acoustic-event output with the full probability distribution. PASCAL A and PASCAL B are offered as two separate label spaces on this page and are never merged; `artifact` is a recording-quality label, not a cardiac class."
SS-10,10,CirCor murmur/outcome output,/predict/murmur/,SS-10_predict_murmur.png,113643,"The CirCor page with both of its label spaces exercised: a live clinical-outcome indication for one recording above, and below it the same subject collapsed from all four auscultation locations to a patient-level murmur indication under every declared aggregation rule. Murmur and outcome are separate tasks with separate models."
SS-11,11,Robustness analytics,/robustness/,SS-11_robustness.png,1155760,"How the results move under added noise, shortened recordings, a different corpus and a different auscultation location (T19-T22, T-S5). The leave-one-sub-collection-out result is shown beside the pooled one rather than in place of it."
SS-12,12,Feature importance/explainability,/predict/binary/,SS-12_explainability.png,369918,"Global feature importance and family-level contribution (T23), and the per-sample explanation of the prediction made in this browser tab: the contribution of each feature to that recording's own decision, computed by the API over the exact vector it scored."
SS-13,13,Exported report preview,/reports/,SS-13_reports.png,217233,"The report export panel after a recording report has really been generated and saved by the running service, with the objective-coverage table (T29) rendered below it -- the same content the downloadable DOCX carries. A DOCX cannot be previewed inside the browser, so what is shown is the export in its completed state plus the rendered content of the document it produced."
